COMMENTS: Created on the 05/12/05
COMMENTS: Axes are: Energy and Angle
COMMENTS: PDFs are: Cut Value and TKR Plane (3x16)
COMMENTS: Parameters are: CAL Last Layer Coefficient(1), Log Normal Parameters(4)
COMMENTS: Log Normal Parameters are: Norm, MPV, Width, Tail
#PDFs: 32 #Parameters: 5
AXES:
2
1.58423 0.972478 4340.64 231.67 -0.423824 
2.04628 0.966144 4405.2 263.906 -0.37185 
2.31064 0.970714 4450.27 285.078 -0.365128 
2.28774 0.964065 4392.31 302.471 -0.327653 
1.82764 0.968079 8012.48 384.546 -0.444755 
2.51834 0.963309 8296.02 443.198 -0.407869 
2.73776 0.962728 8304.75 488.126 -0.399616 
3.02324 0.949809 8367.54 532.006 -0.326724 
2.91584 0.969362 8237.21 558.713 -0.371267 
2.30948 0.963941 9217.78 415.328 -0.466392 
2.10108 0.950675 8924.06 466.567 -0.39809 
2.69126 0.951195 9175.06 517.289 -0.389232 
3.13112 0.959978 9398.78 582.543 -0.394493 
3.14078 0.969047 9295.3 654.776 -0.346103 
3.16497 0.919002 19639 857.156 -0.456816 
3.27227 0.940111 19473.6 1012.1 -0.488725 
4.45849 0.945483 20884.3 1302.92 -0.370059 
4.33964 0.943282 20326.8 1319.22 -0.298208 
4.60633 0.965639 20631 1531.43 -0.362764 
3.3901 0.907397 29973.2 1456.45 -0.517651 
5.47467 0.880328 34225.8 1956.33 -0.24531 
4.98135 0.929958 32504.5 1963.79 -0.331411 
4.86739 0.972839 31648.9 2271.35 -0.377393 
5.97465 0.969818 34333.2 2569.62 -0.416661 
4.60617 0.866654 54766.5 2566.4 -0.484066 
6.70019 0.8885 63130.9 3685.29 -0.399382 
4.83281 0.93568 52816 3466.81 -0.449049 
7.56586 0.961279 64332.4 4757.31 -0.398929 
7.24462 0.954267 62316.3 5003.94 -0.421904 
PDF: Cut Value 0 and TKR Plane 9
2.14059e-10 1.00091 114.033 26.3136 -0.297125 
1.84619e-09 0.997319 118.013 25.3331 -0.33755 
1.41555e-10 0.991482 122.128 24.5244 -0.378845 
1.84619e-09 0.991726 126.804 23.5099 -0.459451 
0.152142 0.980157 129.953 23.2073 -0.510387 
1.84619e-09 0.983826 194.895 31.9472 -0.336543 
0.241149 0.979371 200.342 30.2363 -0.350194 
2.37989e-10 0.972774 204.955 28.4713 -0.434883 
0.176352 0.96329 208.467 28.2109 -0.435421 
0.206416 0.946352 213.169 27.2961 -0.516833 
0.0374089 0.97586 358.188 40.2696 -0.325435 
